37,35.505,NO,,,,,30,,,,,,,BLANK,,,,,,,,,,,,,,,
38,26.297,NO,26.297,,,,,,,,,,,26.297,,,,,,,,,,,,,,,
39,39,NO,39,,,,,,,,,,,39,,,,,,,,,,,,,,,
40,98.04,NO,82.01,,,13.24,,,3.64,0.85,,,,98.04,,,,,,,,,,,,,,,
41,51.635,NO,35,,,12.32,,,,4.315,,,,51.635,,,,,,,,,,,,,,,
42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.894,NO,,,,,,,,,,,2.894,BLANK,2.894,PIG BARN,,,70000,,,,,,,,,,
44,76.098,NO,76.098,,,,,,,,,,,76.098,,,,,,,,,,,,,,,
45,756.293,NO,677.663,,,46.664,,,1,30.966,,,,756.293,,,,,,,,,,,,,,,
46,59.92,NO,53.6,,,2.09,,,2.74,1.49,,,,59.92,,,,,,,,,,,,,,,
48,477.394,NO,410,0,0,30,0,0,5,0,11,21,,477,,,,,,,,,,,,,,,
49,97.88,NO,96,,,,,,,1.88,,,,97.88,,,,,,,,,,,,,,,
50,328.718,NO,304.918,,,18.3,,,2,3.5,,,,328.718,,,,,,,,,,,,,,,
52,99.66,NO,41.87,,,6.62,,,,5.2,45.97,,,99.66,,,,,,,,,,,,,,,
53,479.475,NO,408,4,,52,,,5,13.1,,,,482.1,,,,,,,,,,,,,,,
54,117.37,NO,94.43,,,,15,,1,5.6,,1.34,,117.37,,,,,,,,,,,,,,,
55,46.57,NO,,33,,8.575,,,1,3.995,,,,46.57,,,,,,,,,,,,,,,
56,240.601,NO,222.75,4,,5.7,,,3.5,4.65,,,,240.6,,,,,,,,,,,,,,,
57,157.702,NO,155.42,,,,,,,2.282,,,,BLANK,,,,,,,,,,,,,,,
58,43.625,NO,29.803,,,7.168,,,2,4.654,,,,43.625,,,,,,,,,,,,,,,
59,220,NO,184.308,,,21.332,,,1,12.36,,,1,BLANK,,,,,,,,,,,,,,,
60,147.713,NO,53.708,,,,,,1,2.494,,,,57.202,,,,,,,,,,,,,,,
61,438.436,NO,381.39,,,46.37,,,2.27,,8.4,,,438.43,,,,,,,,,,,,,,,
